staffid,FirstName,LastName,Gender,Date_of_Birth,HireDate
AB200,ayomide,halleluyah,female,10/9/1982,7/11/2018 0:00
AB212,okorie,mercy,female,10/9/1988,10/9/2003 0:00
AB223,joshua,chukwuemeka,male,10/9/1980,2/9/2022 0:00
AB234,sanni,ibrahim,male,10/9/1988,9/23/2019 0:00
AB240,johnson,Felix,male,10/9/1990,12/9/2019 0:00
AB249,johnson,mercy,female,10/9/2003,12/9/2019 0:00
AB254,mercy,olanipekun,female,10/9/1982,2/9/2020 0:00
AB260,deborah,justin,female,10/9/1999,2/9/2005 0:00
AB268,deborah,Abubakar,female,10/9/1998,2/9/2018 0:00
AB270,Alaba,Emmanuel,female,10/9/1989,2/9/2018 0:00
AB278,shukurat,lasisi,female,10/9/2002,2/9/2018 0:00
AB281,wale,olanipekun,male,10/9/1987,2/9/2018 0:00
AB282,Adebowale,olanipekun,male,10/9/2022,2/9/2018 0:00
AB286,wale,olanipekun,male,10/9/2000,2/9/2018 0:00
AB298,ayomide,halleluyah,female,10/9/1982,7/11/2018 0:00
AB299,ayomide,halleluyah,female,10/9/1995,7/11/2018 0:00
AB401,ayan,olakun,female,8/22/1992,2/9/2018 0:00
AB405,Alayanade,Okoafor,Male,10/9/1996,2/9/2018 0:00
